,CITY
0,Bengaluru
1,Chennai
2,Hyderabad
3,Pune
4,Mumbai
5,Navi Mumbai
6,Chandrapur
7,Kolkata
8,Gaya
9,Varanasi
10,Patna
11,Muzaffarpur
12,Jodhpur
13,Kanpur
14,Lucknow
15,Jaipur
16,Faridabad
17,Gurgaon
18,Rohtak
19,"Kerala State Pollution Control Board
ESIC Hospital"
20,Coimbatore
21,Kozhikode
22,Government School
23,Chamarajanagar
24,Kannur
25,Mysuru
26,Ramanagara
27,MKN Rd
28,Silkboard Junction 323
29,Shalini Playground 5th Block 
30,Rajiv Gandhi Institute of Chest Diseases
31,Mysore Rd
32,Sardar Patel Road
33,Opp.: CBI Office
34,Chikkamagaluru
35,Government PU college 
36,Near GNC Toll Gate
37,Hubballi
38,Bagalkot
39,MUNICIPAL GUEST HOUSE COMPOUND
40,CAAQM Station
41,Yadgir
42,Vijayapura
43,Sri Venkateswara Anam Kala Kendram
44,Kalaburagi
45,Patancheru
46,Administrative Block
47,CAAQMS
48,Solapur
49,GVMC Building
50,MCGM
51,CAAQMS-MPCB
52,K J Somaiya Hospital
53,Kurla
54,CAAQMS-Maharashtra Pollution Control Board
55,CAAQMS- Maharashtra Pollution Control Board
56,Maharashtra Pollution Control Board
57,Tiwani Chawl
58,Kalyan
59,CAAQMS MPCB
60,Aurangabad
61,"
Khutala"
62,Gangapur Road
63,Center of Excellence (WTP side garden
64,"OSPCB CAAQMS-1
Mahanadi Coal fields Limited
Near Senior transit camp
Dera "
65,Nagpur
66,Bulding Of Ankleshwar Industries Association
67,Mahanadi Coal fields  Limited
68,Haldia
69,Nandesari
70,Indore
71,Indian Association for the Cultivation Of Science
72,WEST BENGAL POLLUTION CONTROL BOARD
73,Howrah
74,Plot no.- 57
75,Govt. K.P. College
76,Vatva
77,Ahmedabad
78,"Eicher Tractor (TMTL)
Plot No. 1"
79,Jabalpur
80,Ujjain
81,Near Main Gate Number 7
82,Bhopal
83,S.E. POLICE CONTROL ROOM
84,Katni
85,Durgapur
86,Asansol
87,Jorapokhar
88,Aizawl
89,Collectorate Campus
90,Sagar
91,Singrauli
92,Maihar
93,Birla Colony Campus
94,Udaipur
95,Sector E
96,Ordali Bazar
97,Shillong
98,Hajipur
99,Indira Colony Vistar
100,POLLUTION CONTROL BOARD 
101,Gwalior
102,Ajmer
103,Siliguri
104,Sector 9
105,Agra
106,Alwar - Jaipur Rd
107,Al Afiya General Hospital
108,Mini Secretariat
109,Palwal 
110,Phase-lll
111,The rooftop of Municipality Building
112,BDPO Office
113,Auditorium Hall
114,F-5
115,Gurugram
116,Gate No.3
117,Noida
118,Greater Noida
119,New Delhi
120,"
Jawaharlal Nehru Stadium"
121,Charkhi Dadri
122,"
National Stadium"
123,Patparganj 
124,Ganga Jalpariyojan
125,Ghaziabad
126,Mini secretariat 301/13
127,Vivek Vihar
128,Hapur
129,Loni Dehat
130,MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI
131,Mahatma Gandhi Insititute for Combating Climate Change
132,Moradabad
133,Meerut
134,Government District Hospital
135,Hspcb caaqms station
136,Rooftop of MV Block
137,Regional Office Cum Laboratory
138,Antodya Bhawan Building
139,SD College
140,Sector 18
141,Top Floor
142,HSPCB CAAQM Station
143,Karnal
144,Kurukshetra 
145,YamunaNagar
146,Bathinda 
147,Patiala
148,Saraswati Block Top Floor
149,Mandi Gobindgarh
150,Panchkula
151,A.S. College
152,Chandigarh
153,Near Gate no 3
154,Ambuja Cement Colony
155,Circuit House
156,Near musical Fountain 
157,KERALA STATE POLLUTION CONTROL BOARD
158,Thiruvananthapuram
159,Kollam
160,Kochi
161,Ernakulam
162,India
163,Satna
164,Delhi
