city,location,year,month,value
Agra,"Sanjay Palace, Agra - UPPCB",2020,11,1119.032258064516
Agra,"Sanjay Palace, Agra - UPPCB",2020,12,1330.4347826086957
Baghpat,"New Collectorate, Baghpat - UPPCB",2020,11,1048.5365853658536
Baghpat,"New Collectorate, Baghpat - UPPCB",2020,12,1826.6666666666667
Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",2020,11,1312.6436781609195
Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",2020,12,2016.1538461538462
Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",2020,11,2388.8709677419356
Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",2020,12,2833.684210526316
Ghaziabad,"Loni, Ghaziabad - UPPCB",2020,11,1654.0740740740741
Ghaziabad,"Loni, Ghaziabad - UPPCB",2020,12,2365.890410958904
Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",2020,11,2739.6428571428573
Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",2020,12,2746.3888888888887
Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",2020,12,3084.1
Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2020,11,3331.1627906976746
Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2020,12,4788.571428571428
Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",2020,12,310.0
Hapur,"Anand Vihar, Hapur - UPPCB",2020,09,340.0
Hapur,"Anand Vihar, Hapur - UPPCB",2020,10,1024.2
Hapur,"Anand Vihar, Hapur - UPPCB",2020,11,1800.0
Hapur,"Anand Vihar, Hapur - UPPCB",2020,12,2902.0
Kanpur,Nehru Nagar,2018,02,4463.6
Kanpur,"Nehru Nagar, Kanpur - UPPCB",2019,09,0.0
Kanpur,"Nehru Nagar, Kanpur - UPPCB",2020,04,490.0
Lucknow,Central School,2018,02,1130.5
Lucknow,"Central School, Lucknow - CPCB",2020,12,1175.3
Lucknow,"Gomti Nagar, Lucknow - UPPCB",2019,12,520.0
Lucknow,"Lalbagh, DN Park",2018,02,1589.5
Lucknow,"Lalbagh, Lucknow - CPCB",2020,12,1675.0
Lucknow,"Nishant Ganj, Lucknow - UPPCB",2019,08,389.3
Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",2020,11,73.33333333333333
Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",2020,12,899.8969072164948
Meerut,"Ganga Nagar, Meerut - UPPCB",2020,07,540.0
Meerut,"Ganga Nagar, Meerut - UPPCB",2020,08,20.0
Meerut,"Ganga Nagar, Meerut - UPPCB",2020,09,540.0
Meerut,"Ganga Nagar, Meerut - UPPCB",2020,11,540.0
Meerut,"Jai Bhim Nagar, Meerut - UPPCB",2020,11,2246.818181818182
Meerut,"Jai Bhim Nagar, Meerut - UPPCB",2020,12,1889.7435897435898
Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",2020,12,1002.4
Moradabad,"Lajpat Nagar, Moradabad - UPPCB",2020,07,1343.6363636363637
Moradabad,"Lajpat Nagar, Moradabad - UPPCB",2020,08,1875.7317073170732
Moradabad,"Lajpat Nagar, Moradabad - UPPCB",2020,10,1858.5714285714287
Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",2020,11,1696.7441860465117
Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",2020,12,2550.714285714286
Noida,"Sector - 125, Noida - UPPCB",2020,07,0.0
Noida,"Sector - 125, Noida - UPPCB",2020,11,540.0
Noida,"Sector - 62, Noida - IMD",2020,12,1997.8
Noida,"Sector-1, Noida - UPPCB",2020,12,2706.9
Noida,"Sector-116, Noida - UPPCB",2020,12,2162.3
Varanasi,Ardhali Bazar,2018,02,1446.2
Varanasi,"Ardhali Bazar, Varanasi - UPPCB",2019,10,1004.6739130434783
Varanasi,"Ardhali Bazar, Varanasi - UPPCB",2019,11,128.75
