City Name,Month -Year,Monthly mean/average concentration - PM2.5,Monthly mean concentration - PM10,Monthly mean concentration - NO2,Monthly mean concentration - SO2,Monthly mean concentration - O3,No of AQM Sensors / Environmental sensors deployed
Varanasi,Dec-18,206.41,310.57,76.45,10.72,34.35,NA
Varanasi,Nov-18,177,322,66.2,11.7,36.5,NA
Varanasi,Oct-18,91,221,44.4,7.2,20.3,NA
Varanasi,Sep-18,47,116,17.3,5.4,32.9,NA
Varanasi,Aug-18,37,80,14,5.7,23.6,NA
Varanasi,Jul-18,35,68,19.6,6.7,20.7,NA
Varanasi,Jun-18,62,159,21.4,9.7,32.8,NA
Varanasi,May-18,67,181,29.7,10.1,29.3,NA
Varanasi,Apr-18,71,226,52.1,11.5,26.1,NA
Varanasi,Mar-18,100,249,58,12.9,16.2,NA
Varanasi,Feb-18,118,216,69.9,11.2,11.8,NA
Varanasi,Jan-18,134,297,73.5,9.1,12.8,NA
Varanasi,Dec-17,256,390,89.8,11.6,40.2,NA
Varanasi,Nov-17,181,345,83.3,10.3,18.6,NA
Varanasi,Oct-17,91,192,41.8,8.2,17.1,NA
Varanasi,Sep-17,50,107,23.2,7.8,16.6,NA
Varanasi,Aug-17,37,69,18.9,5.1,12.3,NA
Varanasi,Jul-17,32,59,26,4.8,13.7,NA
Varanasi,Jun-17,51,158,39.7,5.5,35.2,NA
Varanasi,May-17,69,236,39.8,8.6,44.3,NA
Varanasi,Apr-17,83,298,40,9.7,35.5,NA
Varanasi,Mar-17,111,289,52.4,12.1,23.4,NA
Varanasi,Feb-17,136,280,52.3,12.1,23.2,NA
Varanasi,Jan-17,212,318,45.7,9.7,16.2,NA
